,Content
175,Mmhm
176,more so her cause she don't even care
177,Oh cool cool cool
178,So we we speaking on
179,you know fam and that's good that you got a good relationship
180,with them
181,What about um
182,your relationship as far as your friends and stuff like that?
183,Um I'm not really a friend person
184,I have so much family like
185,we so close I got one cousin I got one friend
186,Mmhm
187,And then I got my sister
188,That's beautiful
189,You can count them all on a hand That's
190,I mean might have
191,some good quality over quantity
192,That's how I would look at it
193,Hell yeah
194,Um
195,And they the only ones who stayed down like hey
196,was
197,<>
198,Everybody let's go
199,So
200,So your one friend in in particular
201,um what do you do together
202,with that friend?
203,<ts>
204,Smoke
205,workout eat
206,Okay
207,Yeah
208,Talk about boys
209,Yeah
210,?
211,How how'd
212,Just chill
213,how'd you meet him?
214,Sixth grade At RDSCHOOL
215,Uh okay okay That's
216,over a decade right about there
217,Damn near
218,Yep
219,Let's see um
220,since you said something about um
221,about school
222,How was school for you
223,coming up?
224,<ts>
225,Um
226,school was
227,what
228,what you made it at my school When I went to RDSCHOOL el Well RDSCHOOL middle and high And I went to RDSCHOOL elementary and it was like
229,in the beginning
230,it was good It was a excellent school you know We was all
231,cool And then you got folks moving in from crazy areas Then you got everybody else Around my area growing up venturing out and stuff
232,Mmhm
233,So it's like
234,one day you might have
235,We might make
236,What is it called? The um
237,we might meet all our criterias or something then the next day
238,they want a food fight
239,or something like that
240,Mmhm
241,<>
242,Or
243,or the next day you know you got these gang members quote unquote Coming in and out of the school We like who are y'all? Where'd y'all come from?
244,So wrong way um
245,I guess what grade was that happening?
246,That was like seventh grade
247,Okay
248,Damn
249,Early
250,<>
251,Seventh grade you start having all the ratchetness
252,Okay okay okay let's see um
253,How many students used to go?
254,How big were y'all classes and shit?
255,Well
256,I always
257,Well when I got in high school I took um
258,AP classes but throughout middle school
259,Mkay
260,it was like thirty and
261,forty kids in a classroom
262,unintelligible
263,It used to be so hot
264,<>
265,But in high school I only had maybe like
266,ten eleven people in my class
267,Oh okay
268,Sometime twenty at the most
269,Okay That's a good day
270,Twenty at the most
271,What um
272,what kind of subjects did you take?
273,Of course the basics Math reading and science social studies
274,Then I got um
275,Gotta have that
276,<ts>
277,biology and AP geometry and
278,AP
279,whoever else
280,<ts>
281,Yeah
282,Um
283,all those different maths And then they had of course biology chemistry
284,physical science and all that economics
285,Ooh Y'all had economics early?
286,Mmhm
287,Not middle school that was like high school
288,I
289,Oh okay I I see I ain't did economics til
290,college and shit
291,Oh no I had economics like
292,tenth grade
293,Do you remember anything from the classes?
294,Course you can remember math cause that's your money
295,<cough>
296,Yep
297,<cough>
298,<cough>
299,English and
300,stuff like that Literature and stuff like that
301,it
302,<cough>
303,broadens your va vocabulary and
304,it
305,opens your mind to I guess
306,believe and
307,think And then of course you got history and stuff
308,You got
309,you know some history
310,well all history really is our history but then you hear
311,Uh
312,different aspects and different point of views as you grow older
313,And then you eventually get your own mindset And chemistry and science and stuff like that
314,Oh
315,I ain't really go for all that cause I got a real weak stomach
316,<>
317,But
318,everything else was everything else was pretty cool Like
319,real cool
320,You gotta be a certain type of individual to be a doctor man
321,Yeah And I had My major was gonna be nursing
322,Opening people up and stuff like that
323,Mmhm
324,Like
325,I switched my major up soon as I took them classes I'm like oh my stomach is
326,too weak I was in those classes they was trying to get us to dissect
327,<cough> oh boy
328,I'm like dissect? Only thing I know how to do is gut fish
329,Yeah <>
330,Like they got a pig out here
331,Oh yeah they did
332,Frogs I hate them
333,Mmhm
334,Mmhm
335,We got all kind of stuff
336,Oh my goodness I never
337,So I just switched to social work
338,Nah And that's still something in itself as well
339,Cause I do
340,It's all shit
341,Tell you
342,<> That's what I do That's what I get
343,<>
344,Jug on jug action right there
345,Let's see
346,Um what was your favorite subject though?
347,Math
348,I knew it was gonna be math The way you talk about m
349,Not just because of money but just because
350,Yeah
351,that's always been the subject that I could like
352,I could understand fast Like my grandma and my cousins
353,they used to pay me
354,Oh
355,to do they math work
356,Like
357,Oh shi I'm finna have you help me out with some math then
358,Oh yeah I'm a genius in math My mama is too like
359,Oh yeah your mom I can tell your mom was fire with the math
360,My mama was real fire with math
361,But I don't even
362,My daddy real smart with it too but he
363,unintelligible
364,he don't know like the
365,once they added all the letters and all that that's when you lost him
366,Oh yeah yeah Okay Okay that's two different type of math unintelligible
367,Yeah
368,But he can add up some numbers in his head in a heartbeat
369,What kind of math you thinking?
370,I don't know I'm just looking at a math book
371,<cough>
372,<cough> Oh that ain't even yours
373,Hell nah
374,<>
375,<cough>
376,I bet
377,<cough>
378,there's um
379,This is really my auntie's
380,This joint so old though I think this joint came out like the eighties
381,The twothousands finna be considered old
382,<ts>
383,Right
384,unintelligible
385,Bro
386,All our generation is twentyone
387,Ninetysix babies
388,is finna be twentyone
389, is about to be twentyone in a little while
390,I
391,I don't see how the fuck they could trip on
392,little niggas not knowing who Tupac was Like
393,niggas wasn't growing up when Tupac was like out like that
394,That's what I'm saying
395,Like
396,Like
397,They don't compare now
398,but I bet you if you ask on somebody they know like you could ask these folks Kendrick Lamar just speaking on J Cole
399,Yeah
400,Of course Young Thug And the those kind of rappers but rappers in that like
401,You know that shit?
402,you can ak you can't ask them about that Like that's before they time
403,Like we going out of our way to follow that shit Just cause we fuck with like
404,Yeah
405,the nineties and shit like that They don't have to fuck the nineties at all though
406,I barely made that shit Like I'm like kind of half way between both of 'em right now
407,<>
408,Really wanna bridge the gap on that man
409,Mm
410,Do what I can
411,I just like both of 'em man
412,Really all of them joints the same for real for real when you really think about it
413,Yeah?
414,Especially if you know
415,about numbers and stuff like that
416,Yeah?
417,So what
418,uh you know about decimals?
419,???
420,Mmhm
421,Okay
422,Ain't gonna lie I was like oh man I forgot how to say this word
423,??
424,Yeah Some of that stuff you be like what?  be showing me some work They got they got
425,these days they got new stuff
426,Mmhm
427,Like
428,I'm like I ain't never seen that when I was in school 
429,Oh she did have that like a new ways of looking at the numbers though
430,Yeah She had No she just had some problems she showed me on her online class It was like
431,<>
432,I don't even remember what it was but I'm like okay
433,I'm getting the beginning solving it first
434,And then they start talking about regions and something And I'm like what the fuck is a region?
435,<>
436,Okay
437,Now this one is
438,For example this joint is saying it out plain as day and I'm still having it
439,trouble getting at how that happened
440,Although they worked it out and everything
441,Oh they just dropped the decimal and subtract it from the <ts> just like you do regular subtraction
442,Okay so
443,what's that? Four hundred thirtysix dollars and
444,seventytwo cents?
445,Subtract well minus
446,fortynine dollars and
447,fortysix cents?
448,Mmhm
449,And what'd that give me?
450,Ha three hundred eightyseven dollars and twentysix cent ing
451,<>
452,<>
453,Hey but would you be able to do that without like that
454,that paper right in front of you Like if somebody told you that You'd just know that exact number like that?
455,Yeah
456,I've been calculating money like that cause at the little job I work
457,My bro does this shit too bruh I'm not even doing that anymore
458,at um
459,Yeah this little What's that? Oh
460,at the um they don't have
461,registers and stuff so you gotta do it all in your head So I just be like
462,Oh shit ??
463,<ts>
464,Remember orders all that different stuff Yo
465,Yeah
466,And their food so doggone good Like
467,ooh
468,unintelligible
469,???
470,Let's see um
471,what kind of music do you like right about now?
472,<ts>
473,Mm
474,I guess you could say
475,Hip Hop and R and B
476,cause I love to sing
477,Yeah
478,But
479,sometimes I just can't listen to all that I just be liking the beat to a hip hop song
480,The beats
481,The damn beats
482,I be listening to the beats
483,<ts>
484,Oh you got R and B and a good beat going together? That's pretty cool too
485,Yeah
486,August Alsina pretty good doing that
487,I don't really listen to him like that
488,Ah man I don't neither
489,but I just know all of when I hear his music that dude
490,Yeah I heard a few of his songs Yeah
491,Right
492,When you straight
493,Jeremiah he turnt up too
494,Yeah?
495,Sometimes he just need to lower his voice though
496,I'll
497,<>
498,Two Chainz about to come out with a album called
499,girls love trap music
500,I thought you was about to say Two Chainz about to start singing and I was about to say hell no
501,Oh no he might on this hit bruh
502,but I don't know
503,We gonna see
504,Mmhm
505,He been coming out with some bangers lately though I love Two Chainz
506,<ts>
507,Yeah
508,It's so
509,And Future
510,Dang <whispered>
511,Future
512,He really been chilling lately He might start turning back up again
513,Exactly
514,But he been chilling in a good way though Like
515,Yeah
516,He been all over the place You can understand him
517,<clears throat>
518,You know like Thug starting to get on that too
519,Psh is he?
520,I
521,I thought he was not gonna stop dropping mix tapes when I was with him
522,He chilling right now
523,Exactly
524,I for
525,Ah never mind His last album He was in a dress
526,Went all the way out
527,Oh okay
528,Was that a dress?
529,That was definitely a dress right?
530,Yeah talking about that cheetah?
531,No not the cheetah one but um
532,<>
533,The album cover one with like the wedding type dress
534,<ts>
535,Yes talking about Yeah I know what you talking about
536,Hey man that's good publicity right there
537,Really turnt
538,What this five thirty man
539,Would you trip Ay would you trip if um
540,JJ wanted to um where one of them dresses like that?
541,Yeah I'd trip
542,<>
543,I did not have no little girl
544,<cough>
545,I mean I just
546,parenting right there
547,unintelligible
548,It's not I'm not gonna say it ain't good parenting
549,cause you can't say
550,hm
551,I will personally say it was like a unwritten rule you gotta at least let 'em just grow up first
552,before they make that type of decision on like ??
553,Right like
554,And then I be seeing these videos These mama's be letting they little boys dance and stuff Like this lady had her son dancing in a dress
555,And the little boy just doing it Like
556,I will beat the shit out of JJ like
557,<> I mean I get how it was funny and shit like that
558,No that is not funny
559,I don't find that funny at all
560,I mean if it's not funny then it just like okay they doing they thing They turnt but <cough>
561,little crazy <cough>
562,Alright bro
563,It going to be an interesting time to wonder
564,Very
565,Cause I don't think my mama would let that shit going down either
566,I would just
567,I just wanted my thing personally
568,You can't say
569,I wo I would hope she would know to do that shit God damn <>
570,I don't know You can't judge them and all that stuff but
571,I'm not judging nobody
572,I don't
573,Yeah I'm preventing it the best way I can Like
574,why? I just wanna know why you feel like
575,dick in a booty is okay Like
576,why? What?
577,I would wanna know too
578,Why JJ?
579,A
580,a decent explanation
581,No not even why JJ cause I know that's not gonna happen to him But
582,I get that I get that
583,Like why would you?
584,<ts>
585,What's the matter?
586,I don't know I'm curious too
587,<>
588,What's another thing we could talk about?
589,I don't even know like
590,<>
591,that just threw me
592,<> Shit
593,Huh
594,Nah that was real
595,Mmmm
596,Yep you never try to play no instrument?
597,<cough>
598,Never try to play who?
599,A instrument?
600,You wasn't in band or no shit?
601,Man I tried to play the flute
602,That didn't work out
603,Hm
604,Okay
605,The recorder boy I was the shit on the recorder boy In fifth grade
606,Yeah
607,<>
608,So I tried to advance to the flute
609,I ain't gonna lie I knew a couple of little notes on the recorder too I was turnt for a second and then it just started getting advanced
610,It just started
611,turning into some other flute type stuff like nah ?? with a recorder
612,Oh snap What if somebody brought again a old school
613,elementary school recorder and putting 'em on a trap beat
614,Boy that'd be fire if they all playing it together
615,Ooh You'd get a couple of 'em
616,How you got a roll with no weed?
617,<humming>
618,Bro I knew I just had a lighter like
619,Ah man I ?? again
620,<ts>
621,Oh my gosh Let's see
622,Donald Trump is the president
623,Man I don't even wanna speak on that Donald Trump is your president Obama is my president Okay?
624,<> unintelligible
625,Oh man
626,Obama is my president
627,Man
628,I'm really you know
629,the type of person I am
630,you know I give people the benefit of the doubt so hard
631,Yeah?
632,Like everybody Even
633,trying I'm like maybe he ain't gonna do
634,nothing bad at all
635,Maybe
636,Just maybe bro Just damn maybe
637,Just damn maybe
638,Dang bruh
639,Did they Pac Obama?
640,Not that I know of
641,Bruh Obama wasn't the president for eight years and he couldn't
642,save black people
643,Everybody love Obama bruh
644,And I'm bruh Obama is not like god damn like hey
645,you should stop fucking with black people
646,He the president He coulda just say that like now
647,Yeah?
648,I know y'all see me president out of this thing
649,But then they gonna say he racist Then they gonna say why he just talking to black people? Like da da da da da
650,You know they gonna say that but now I mean he gonna help everybody man
651,Yeah
652,<>
653,He help ??
654,Some of y'all still doubt Obamacare
655,Some of y'all niggas still got Obama Care but
656,I think that's really what it they try to make it
657,Obamacare be like okay
658,He was fucking with Obamacare now we got you
659,Right
660,But not yet
661,Anyway
662,It's tougher now
663,But then the same thing I see about the Obamacare now
664,means and shit like that now they switching it to the Donald Trump meanings and shit
665,Yeah
666,Like oh shit you know I'm the mother fucking president now so
667,You know
668,Get rid of the school debts or some shit like that
669,Bernie Sanders woulda been tight
670,I hope he just chill
671,Right
672,He just would've been laidback
673,old as hell
674,Old as hell but he was gonna have some
675,Yoda's type stuff
676,Yeah
677,<ts>
678,I be trying to either get too deep into politics and stuff I be listening to it
679,Mmhm
680,but I don't really be
681,I don't never really have a response
682,Nah me neither I don't even know what the heck is going on over there I think they just
683,passing bills And
684,making paper
685,you know more than what it is or whatever
686,And then they talking about
687,somebody need to put Obama on the twentyfive dollar bill
688,Where is Obama on the twentyfive dollar bill?
689,That would be kind of turnt though
690,<>
691,<>
692,Obama get the twentyfive dollar bill
693,Right
694,You know they gonna say something about that but it ain't that big of a deal
695,<ts>
696,What where Harriet Tubman sposta be? The new twenty?
697,It's not But the way that
698,<> Right <>
699,I think that's
700,what is it
701,Right
702,We get twentyfive
703,I'm'a be cool
704,Cause you know Benjamin Franklin
705,<>
706,Nah not Franklin Um
707,Abraham Lincoln what? He on the five dollar bill?
708,I thought he was on the one dollar
709,I thought that was George Washington
710,Oh yeah uhhuh
711,I think so
712,You know better than me
713,Let me see what the time is
714,Eleven thirteen
715,Let me see what that means on this um timer
716,<sigh> That is some pretty good conversation though
717,Right
718,Alright
719,Gonna have the paperwork unintelligible
720,Oh
721,my phone just died
722,As always
723,Oh yeah I can see wha how much time is on the actual recorder
724,Ooh don't drop it
725,Mmmm
726,Twentyfive minutes? <>
727,<>
728,Oh you gotta ?? that's unreal
729,unintelligible
730,What kind of workouts should we do?
731,I don't be working out
732,I'm too little
733,I need to eat
734,Man you lucky
735,You lucky you don't gotta workout and you look like that
736,I don't gotta workout and I look like this
737,I be still trying to workout
738,<ts>
739,I wanna workout but I wanna gain some weight then workout
740,I was waiting on that too When I gain weight
741,Is this fat club right now I'm'a say hey ms fat
742,Ah <>
743,Yeah that's all I could say too <>
744,<>
745,Hey ms fat <>
746,<>
747,Why your mama have to name me directly after her?
748,I have no idea but I'm glad she did I follow that that's a slow move
749,<>
750,You blush She love you like
751,She love me like a mother unintelligible
752,Hey
753,<>
754,Both of y'all just p
755,unintelligible
756,<>
757,<>
758,You need a pat pat pat out of this motherfucker
759,<>
760,unintelligible
761,<>
762,Can't wait
763,I'm been thinking about Peyton
764,lately
765,<gasp>
766,Peyton
767,Mm
768,That could go smooth for a boy or a girl
769,I know a little boy Peyton I know two little boy Peytons
770,Oh yeah?
771,Mmhm
772,Oh that's the ?? man
773,Peyton  though
774,That sound like a motherfucker right there
775,Peyton Emmanuel
776,Ooh Emmanuel That's
777,that's pretty fire right there Peyton Emmanuel 
778,My son name is so ratchet
779,What are
780,Well what
781, name go like 
782,<>
783,Hey
784,Then 
785,<>
786,I kind of like that though
787,I told that man ??
788,I mean I told that man  if it be a little boy
789,<ts>
790,Yeah
791,I let you name him
792,Ay
793,Man and it came around to be a little boy
794,What you was gonna If it wasn't a If it was a girl what you were gonna name
795,<ts> I don't know I ain't even have no girl names in my head
796,Yeah you just knew it was a boy
797,That sound crazy I always hear like a lot of females say they rather have a boy than a girl ing
798,<>
799,Why is that though?
800,Boys easy
801,Boys are easy huh?
802,Boys are
803,chill Boys
804,Why
805,why are females not easy?
806,Because
807,<ts> it's not a bad thing but you gotta
808,Mm
809,teach them more in a sense You gotta
810,Mmhm
811,Show them this and show them that Boys
812,<ts>
813,yeah you gotta do the same but it's like
814,<ts>
815,I don't know It's just
816,I don't think it's different raising them I just feel like
817,I don't know
818,Like as far as cycles and bras and this and body odors And
819,Oh snap
820,Didn't even think about that stuff
821,All that stuff
822,Mm mm mm mm
823,Boys
824,none of that
825,Mm
826,So y'all
827,y'all endure like some pains that we won't even have
828,never experienced And then y'all bring like life into the world
829,That's amazing man
830,Wh what
831,It's the worst best
832,craziest feeling in the world
833,Ah man
834,Mmhm
835,Like that doggone 
836,Women should at least be get
837,Women should at least be getting paid around the same amounts as guys If there's
838,any type of um
839,shit like that
840,<ts>
841,Mmhm
842,I didn't think it was like that That's saying that you know
843,women don't get paid as much as men and shit
844,Right
845,But you got more
846,single mom households than single father
847,Damn
848,households
849,Yeah you you kind of seen the number of the fathers turning up but it's still nowhere near
850,Yeah
851,what
852,the mama's holding it down and shit like that
853,Yeah
854,Me and  gonna be like you and Miss 
855,that's it
856,<>
857,You can have two rooms
858,Yeah <>
859,too
860,That shit gonna be crazy
861,Well we really used to live right here Like
862,<ts>
863,Man I had that mother fucking basketball goal up
864,Okay
865,Doggone ???
866,When last time you played a video game?
867,I don't really be playing video games I just be playing games on my phone
868,Oh What kind of games you play on your phone?
869,Psh
870,<>
871,Stupid games Real stupid games
872,Um Cookie Jam Two
873,Ooh I don't know what that is
874,<ts>
875,And then I be playing the um Game Pigeon games
876,Wanna play?
877,Hm
878,Yeah let me let me see it
879,Your phone dead
880,My phone all the way it And the charger right next to it
0,Okay
1,Um
2,my name is  and
3,today I will be
4,interviewing 
5,Um  can I get
6,your
7,full name?
8,Okay Miss 
9,Um
10,going to assume that
11,your sex is female right?
12,Last time I checked yes
13,Okay
14,Eth
15,ethnically
16,what do you identify as?
17,I identify as African American
18,Okay
19,Um
20,year of your birth?
21,Nineteen ninetytwo
22,Okay
23,Um
24,how many years in Atlanta have you
25,lived?
26,S
27,seven
28,Seven years in Atlanta Um was it any other places you live?
29,Outside of here within those seven years?
30,Just
31,anywhere in life
32,puh
33,Um
34,Philly
35,Jersey
36,um
37,I spent a couple months in Florida
38,mm
39,not really nowhere major
40,I spent like
41,two weeks in Baltimore
42,you know
43,regular shit
44,Okay cool cool cool
45,Uh
46,as far as education
47,what's the um
48,I guess the highest form of education for you?
49,Uh
50,one year of college
51,Okay
52,It really didn't work out too well
53,Have some college experience
54,Alright what about um
55,occupation?
56,Honestly
57,I'm a hustler
58,I really don't have
59,an occupation When you got
60,two kids you really can't
61,have a
62,set occupation so
63,whatever
64,What I want to do though
65,I'm tryna
66,become a nurse
67,Mmhm
68,That's pretty much what I wanna do
69,Yeah
70,But
71,Okay
72,Um
73,parents' birth place?
74,My mother and my father were both
75,born and
76,raised in New Jersey
77,Okay
78,Um
79,what do they do for a living?
80,My mother has her master's in psychology
81,and my father is
82,a scam artist
83,Hm
84,Very very interesting
85,Okay
86,Imagine growing up with it
87,<>
88,Okay Well um
89,I'm just gonna kind of bounce around
90,and you talk about
91,some of this some of that
92,Alright
93,Um
94,let's talk about
95,when you first got to Atlanta
96,Um
97,did you notice any difference between
98,here
99,and some other places you lived?
100,<sneeze>
101,How much time you got? ing
102,<>
103,I got plenty
104,Uh
105,yeah
106,it's
107,it's a big
108,it's a big culture shock
109,especially when you
110,when you were born and raised and you grew up a certain way and then you come
111,to somewhere where it's the complete opposite
112,Yeah it's definitely a culture shock
113,but
114,mostly positive
115,Okay
116,you know what I'm saying
117,So
118,it's definitely the place like I said the
119,the land of opportunity for our people anyway
120,for colored people should I say not necessarily Black
121,but just
122,people who ain't white
123,Mmhm
124,Puerto Ricans Mexicans Black people
125,you know Muslims
126,all of that
127,Dig that I dig that
128,What about um
129,what what is your thoughts on racism
130,or just race
131,related type of
132,No you said it right the first time Racism is a
133,issues
134,it exists
135,It's very real
136,and
137,I'm Black so
138,I'm naturally
139,the target of it I'm a Black young female
140,so
141,I had three strikes against me coming out the womb
142,Mmhm
143,but it's strikes that I'll
144,that I wear with pride
145,So
146,it's a it exists
147,It's real It's very real here
148,Um
149,sadly
150,the shocking part for me though even though it is very real in the South
151,I've experienced
152,less
153,racism here than I have growing up where I grew up
154,you feel what I'm saying
155,Mm
156,Like
157,growing up where I grew up
158,different ethnicities
159,were racist against each other There were Chinese people that did not like Black people
160,There are Puerto Rican people who
161,do not like Mexicans
162,So
163,coming here where it's like
164,no
165,white people don't like colored people It has nothing to
166,it it has everything to do with being Black but
167,it's not just being Black It's colored people
168,people who are not white are not welcome
169,Wow
170,Okay
171,And that's real
172,and
173,I think once people ch
174,get over the fact that
175,get over the whole idea of tryna bring us all together and become one and
176,make us all equal or make us equal in their eyes Once we get over that fact then we'll be able to conquer this whole thing and get past it But until then
177,as long as we're tryna become equal to them
178,we will
179,always
180,be in a struggle with them
181,Mm
182,Very profound
183,Okay
184,Let's jump towards family information
185,Do you have any siblings?
186,Yes I do
187,Okay
188,I have
189,two little sisters and now
190,two little brothers
191,Wow where do you um
192,rank as far as age between?
193,I
194,I am the oldest of everybody
195,You're the oldest Okay
196,Um
197,are you close to your siblings?
198,Very
199,Okay
200,Um do you have a favorite?
201,Yes
202,M my
203,younger sister 
204,That she is my favorite
205,Why is she your favorite out of everybody?
206,Because
207,I've been so involved with her life
208,since the day she was born that
209,she was my kid before my kids was my kids
210,Shut up Sparky
211,Sorry about that
212,<>
213,<>
214,<>
215,Yeah you good
216,Sorry about that
217,Mm
218,But
219,yeah she's been my kid since before my kids were my kids so
220,Mmhm
221,y
222,that's m that's my
223,that's my heart
224,Oh
225,But I love all of them
226,just as much but
227,that's my baby
228,Okay cool cool cool What about um
229,are you close to any aunts uncles grandparents cousins
230,Um
231,extended family?
232,I do have
233,a few aunts When I say a few
234,literally
235,maybe two
236,Mm
237,that I am very very close with
238,Um
239,cousins
240,very close with them
241,most
242,some of them
243,not all of them but some of them
244,Basically pretty much the ones that I grew up with
245,for the most part I'm close with
246,Um like I said my aunts and uncles
247,my uncles
248,<ts>
249,I grew up with them so they raised me
250,But after I got a certain age it was
251,it kind of got shaky
252,which is natural but
253,for the most part I love all my family I love anybody who loves me
254,G
255,G ish
256,Okay
257,School days
258,Hoo
259,Where did you go to school?
260,Which one?
261,I went to f
262,Let's start with middle school
263,one
264,two
265,I went to two different middle schools
266,Which in uh
267,which were also culture shocks <>
268,w in Georgia?
269,In uh
270,I went to
271,couple schools here but
272,I grew up
273,like I said in Jersey so I went to school in Jersey
274,Um
275,School in Jersey
276,I went to a middle school I went to two different middle schools
277,I went to a charter school and then I went to a public middle school
278,Okay well
279,just in a capsule between those two
280,how different was the charter school from the public school in Jersey?
281,<exhale>
282,Needless to say I got kicked out of the charter school
283,Okay
284,and I had to go to the public school But it was
285,it was very different and
286,it was being ran by a white guy
287,and
288,that's where the difference came in
289,Mmhm
290,It was
291,it's hard to teach
292,it's hard to teach something to someone when y
293,you don't know anything about them
294,You can't teach me You don't know me
295,Mmhm
296,How can you teach me?
297,You can't teach me what you know because we don't know We don't come from the same place
298,You're a Jewish white man
299,Mmhm
300,I'm a young Black little girl
301,Mmhm
302,We don't have the same
303,situation happening here
304,so it's hard for me to feel like I can look to you for guidance or edu
305,or
306,education or anything else like that when
307,y I know for a fact you don't understand me You don't know what it's like for me when I walk out of these doors
308,just like I don't know what it's like for you when you walk out of these doors
309,So
310,that that was a
311,that
312,played a big part in one of the reasons why I got kicked out
313,So
314,Mmhm
315,once I got kicked out and I went to a
316,predominantly
317,colored school
318,Mmhm
319,it was different
320,Felt like
321,the fact that they could relate more
322,They understood
323,that could teach
324,And it was funny because my teacher was a white man
325,but
326,he
327,spent
328,all his life around
329,African American people His wife was African American
330,Mmhm
331,So
332,his m
333,father
334,was African American so it wasn't like he was too far off base
335,Hold on who are we talking about again?
336,My teacher
337,The white teacher
338,The white teacher
339,So how can
340,he have
341,a Black father if he's a white teacher?
342,Like are we talking about biological?
343,Yeah
344,His biological father was white
345,but his mother
346,I mean his biological father was Black
347,but his mother was white
348,But he had i
349,But he looked
350,he looked
351,extra white
352,white
353,He didn't look extra white but he looked white When you looked at him
354,you th automatically thought white You did not think oh he's Black
355,Now once you got close up on him you probably be like
356,oh okay he got curly hair
357,??
358,His nose not like white people
359,Yeah
360,He ain't got green or blue eyes His eyes is brown
361,you know what I'm saying He had a little soul in his voice
362,Yeah you could tell he grew up around Black people or somebody in his family somewhere is Black But
363,when you look at him he looks like a white man
364,Oh wow Okay
365,You ever heard of a rapper named Logic?
366,Yes and I love him
367,I rock I r
368,I just watched his performance on the VMAs
369,I heard it was good
370,I didn't really check for him yet but he definitely give me that
371,ah damn I could've sworn bruh was white
372,but he's really Black
373,but I
374,No he's not
375,He's not white He's Black and Jewish
376,Black and Jewish
377,Very very interesting I know we can
378,dive more
379,deeply into that very very soon
380,So
381,how um
382,far was the schools from your crib?
383,Um the charter school
384,was
385,I wanna say about
386,thirty
387,thirtyfive minutes
388,a drive
389,But the public school
390,was
